Breed,Trait,Trait_Score
Setters (Irish Red and White),Size,5
Ibizan Hounds,Size,4
Spaniels (Sussex),Size,3
Bergamasco Sheepdogs,Size,4
Spaniels (Irish Water),Size,4
Polish Lowland Sheepdogs,Size,3
Otterhounds,Size,5
Kuvaszok,Size,5
Komondorok,Size,5
Cirnechi dell’Etna,Size,3
Pharaoh Hounds,Size,4
Dandie Dinmont Terriers,Size,1
Pyrenean Shepherds,Size,3
Skye Terriers,Size,1
Canaan Dogs,Size,3
American English Coonhounds,Size,4
Chinooks,Size,4
Finnish Spitz,Size,2
Grand Basset Griffon Vendeens,Size,5
Sloughis,Size,5
Harriers,Size,4
Cesky Terriers,Size,2
American Foxhounds,Size,5
Azawakhs,Size,5
English Foxhounds,Size,5
Norwegian Lundehunds,Size,2
Retrievers (Labrador),Affectionate With Family,5
French Bulldogs,Affectionate With Family,5
German Shepherd Dogs,Affectionate With Family,5
Retrievers (Golden),Affectionate With Family,5
Bulldogs,Affectionate With Family,4
Poodles,Affectionate With Family,5
Beagles,Affectionate With Family,3
Rottweilers,Affectionate With Family,5
Pointers (German 1haired),Affectionate With Family,5
Dachshunds,Affectionate With Family,5
Pembroke Welsh Corgis,Affectionate With Family,5
Australian Shepherds,Affectionate With Family,3
Yorkshire Terriers,Affectionate With Family,5
Boxers,Affectionate With Family,4
Great Danes,Affectionate With Family,5
Siberian Huskies,Affectionate With Family,5
Cavalier King Charles Spaniels,Affectionate With Family,5
Doberman Pinschers,Affectionate With Family,5
Miniature Schnauzers,Affectionate With Family,5
Shih Tzu,Affectionate With Family,5
Boston Terriers,Affectionate With Family,5
Bernese Mountain Dogs,Affectionate With Family,5
Pomeranians,Affectionate With Family,5
Havanese,Affectionate With Family,5
Cane Corso,Affectionate With Family,4
Spaniels (English Springer),Affectionate With Family,5
Shetland Sheepdogs,Affectionate With Family,5
Brittanys,Affectionate With Family,3
Pugs,Affectionate With Family,5
Spaniels (Cocker),Affectionate With Family,4
Miniature American Shepherds,Affectionate With Family,5
Border Collies,Affectionate With Family,5
Mastiffs,Affectionate With Family,5
Chihuahuas,Affectionate With Family,4
Vizslas,Affectionate With Family,5
Basset Hounds,Affectionate With Family,3
Belgian Malinois,Affectionate With Family,3
Maltese,Affectionate With Family,5
Weimaraners,Affectionate With Family,5
Collies,Affectionate With Family,4
Newfoundlands,Affectionate With Family,5
Rhodesian Ridgebacks,Affectionate With Family,5
Shiba Inu,Affectionate With Family,5
West Highland White Terriers,Affectionate With Family,5
Bichons Frises,Affectionate With Family,5
Bloodhounds,Affectionate With Family,4
Spaniels (English Cocker),Affectionate With Family,5
Akitas,Affectionate With Family,3
Portuguese Water Dogs,Affectionate With Family,5
Retrievers (Chesapeake Bay),Affectionate With Family,4
Dalmatians,Affectionate With Family,5
St. Bernards,Affectionate With Family,5
Papillons,Affectionate With Family,5
Australian Cattle Dogs,Affectionate With Family,3
Bullmastiffs,Affectionate With Family,4
Samoyeds,Affectionate With Family,5
Scottish Terriers,Affectionate With Family,5
Soft Coated Wheaten Terriers,Affectionate With Family,5
Whippets,Affectionate With Family,5
Pointers (German Wirehaired),Affectionate With Family,5
Chinese Shar-Pei,Affectionate With Family,4
Airedale Terriers,Affectionate With Family,3
Wirehaired Pointing Griffons,Affectionate With Family,5
Bull Terriers,Affectionate With Family,4
Alaskan Malamutes,Affectionate With Family,3
Cardigan Welsh Corgis,Affectionate With Family,4
Giant Schnauzers,Affectionate With Family,5
Old English Sheepdogs,Affectionate With Family,5
Italian Greyhounds,Affectionate With Family,5
Great Pyrenees,Affectionate With Family,5
Dogues de Bordeaux,Affectionate With Family,5
Russell Terriers,Affectionate With Family,5
Cairn Terriers,Affectionate With Family,4
Irish Wolfhounds,Affectionate With Family,5
Setters (Irish),Affectionate With Family,5
Greater Swiss Mountain Dogs,Affectionate With Family,5
Miniature Pinschers,Affectionate With Family,5
Lhasa Apsos,Affectionate With Family,5
Chinese Crested,Affectionate With Family,4
Coton de Tulear,Affectionate With Family,5
Staffordshire Bull Terriers,Affectionate With Family,5
American Staffordshire Terriers,Affectionate With Family,5
Rat Terriers,Affectionate With Family,5
Chow Chows,Affectionate With Family,4
Anatolian Shepherd Dogs,Affectionate With Family,1
Basenjis,Affectionate With Family,3
Spaniels (Boykin),Affectionate With Family,3
Lagotti Romagnoli,Affectionate With Family,5
Brussels Griffons,Affectionate With Family,4
Retrievers (Nova Scotia Duck Tolling),Affectionate With Family,5
Norwegian Elkhounds,Affectionate With Family,5
Standard Schnauzers,Affectionate With Family,5
Dogo Argentinos,Affectionate With Family,5
Bouviers des Flandres,Affectionate With Family,3
Pekingese,Affectionate With Family,5
Keeshonden,Affectionate With Family,5
Border Terriers,Affectionate With Family,4
Leonbergers,Affectionate With Family,5
Tibetan Terriers,Affectionate With Family,5
Neapolitan Mastiffs,Affectionate With Family,3
Setters (English),Affectionate With Family,5
Retrievers (Flat-Coated),Affectionate With Family,5
Borzois,Affectionate With Family,3
Fox Terriers (Wire),Affectionate With Family,5
Miniature Bull Terriers,Affectionate With Family,5
Belgian Tervuren,Affectionate With Family,3
Setters (Gordon),Affectionate With Family,5
Silky Terriers,Affectionate With Family,5
Norwich Terriers,Affectionate With Family,5
Spinoni Italiani,Affectionate With Family,5
Japanese Chin,Affectionate With Family,5
Welsh Terriers,Affectionate With Family,5
Toy Fox Terriers,Affectionate With Family,5
Schipperkes,Affectionate With Family,5
Parson Russell Terriers,Affectionate With Family,5
Pointers,Affectionate With Family,5
Belgian Sheepdogs,Affectionate With Family,3
Tibetan Spaniels,Affectionate With Family,5
American Eskimo Dogs,Affectionate With Family,5
Irish Terriers,Affectionate With Family,5
Beaucerons,Affectionate With Family,3
Afghan Hounds,Affectionate With Family,3
Boerboels,Affectionate With Family,5
Fox Terriers (Smooth),Affectionate With Family,5
Bearded Collies,Affectionate With Family,4
Black Russian Terriers,Affectionate With Family,3
Black and Tan Coonhounds,Affectionate With Family,4
Spaniels (Welsh Springer),Affectionate With Family,5
American Hairless Terriers,Affectionate With Family,5
Norfolk Terriers,Affectionate With Family,5
Xoloitzcuintli,Affectionate With Family,5
Manchester Terriers,Affectionate With Family,5
Kerry Blue Terriers,Affectionate With Family,5
Australian Terriers,Affectionate With Family,3
Spaniels (Clumber),Affectionate With Family,4
Lakeland Terriers,Affectionate With Family,5
Bluetick Coonhounds,Affectionate With Family,3
English Toy Spaniels,Affectionate With Family,5
German Pinschers,Affectionate With Family,5
Tibetan Mastiffs,Affectionate With Family,4
Bedlington Terriers,Affectionate With Family,3
Greyhounds,Affectionate With Family,4
Pulik,Affectionate With Family,5
Salukis,Affectionate With Family,5
Barbets,Affectionate With Family,4
Redbone Coonhounds,Affectionate With Family,5
Swedish Vallhunds,Affectionate With Family,5
Sealyham Terriers,Affectionate With Family,5
Spanish Water Dogs,Affectionate With Family,5
Briards,Affectionate With Family,3
Berger Picards,Affectionate With Family,3
Entlebucher Mountain Dogs,Affectionate With Family,5
Treeing Walker Coonhounds,Affectionate With Family,5
Icelandic Sheepdogs,Affectionate With Family,5
Wirehaired Vizslas,Affectionate With Family,5
Pumik,Affectionate With Family,5
Portuguese Podengo Pequenos,Affectionate With Family,5
Spaniels (American Water),Affectionate With Family,3
Retrievers (Curly-Coated),Affectionate With Family,5
Spaniels (Field),Affectionate With Family,5
Lowchen,Affectionate With Family,5
Nederlandse Kooikerhondjes,Affectionate With Family,5
Affenpinschers,Affectionate With Family,3
Petits Bassets Griffons Vendeens,Affectionate With Family,4
Finnish Lapphunds,Affectionate With Family,5
Scottish Deerhounds,Affectionate With Family,5
Plott Hounds,Affectionate With Family,0
Norwegian Buhunds,Affectionate With Family,5
Glen of Imaal Terriers,Affectionate With Family,5
Setters (Irish Red and White),Affectionate With Family,5
Ibizan Hounds,Affectionate With Family,5
Spaniels (Sussex),Affectionate With Family,5
Bergamasco Sheepdogs,Affectionate With Family,3
Spaniels (Irish Water),Affectionate With Family,5
Polish Lowland Sheepdogs,Affectionate With Family,5
Otterhounds,Affectionate With Family,5
Kuvaszok,Affectionate With Family,5
Komondorok,Affectionate With Family,5
Cirnechi dell’Etna,Affectionate With Family,4
Pharaoh Hounds,Affectionate With Family,5
Dandie Dinmont Terriers,Affectionate With Family,4
Pyrenean Shepherds,Affectionate With Family,5
Skye Terriers,Affectionate With Family,5
Canaan Dogs,Affectionate With Family,3
American English Coonhounds,Affectionate With Family,3
Chinooks,Affectionate With Family,4
Finnish Spitz,Affectionate With Family,5
Grand Basset Griffon Vendeens,Affectionate With Family,5
Sloughis,Affectionate With Family,4
Harriers,Affectionate With Family,5
Cesky Terriers,Affectionate With Family,4
American Foxhounds,Affectionate With Family,3
Azawakhs,Affectionate With Family,3
English Foxhounds,Affectionate With Family,5
Norwegian Lundehunds,Affectionate With Family,3
Retrievers (Labrador),Good With Young Children,5
French Bulldogs,Good With Young Children,5
German Shepherd Dogs,Good With Young Children,5
Retrievers (Golden),Good With Young Children,5
Bulldogs,Good With Young Children,3
Poodles,Good With Young Children,5
Beagles,Good With Young Children,5
Rottweilers,Good With Young Children,3
Pointers (German 1haired),Good With Young Children,5
Dachshunds,Good With Young Children,3
Pembroke Welsh Corgis,Good With Young Children,3
Australian Shepherds,Good With Young Children,5
Yorkshire Terriers,Good With Young Children,5
Boxers,Good With Young Children,5
Great Danes,Good With Young Children,3
Siberian Huskies,Good With Young Children,5
Cavalier King Charles Spaniels,Good With Young Children,5
Doberman Pinschers,Good With Young Children,5
Miniature Schnauzers,Good With Young Children,5
Shih Tzu,Good With Young Children,5
Boston Terriers,Good With Young Children,5
Bernese Mountain Dogs,Good With Young Children,5
Pomeranians,Good With Young Children,3
Havanese,Good With Young Children,5
Cane Corso,Good With Young Children,3
Spaniels (English Springer),Good With Young Children,3
Shetland Sheepdogs,Good With Young Children,5
Brittanys,Good With Young Children,4
Pugs,Good With Young Children,5
Spaniels (Cocker),Good With Young Children,5
Miniature American Shepherds,Good With Young Children,5
Border Collies,Good With Young Children,3
Mastiffs,Good With Young Children,5
Chihuahuas,Good With Young Children,1
Vizslas,Good With Young Children,5
Basset Hounds,Good With Young Children,5
Belgian Malinois,Good With Young Children,3
Maltese,Good With Young Children,3
Weimaraners,Good With Young Children,5
Collies,Good With Young Children,5
Newfoundlands,Good With Young Children,5
Rhodesian Ridgebacks,Good With Young Children,5
Shiba Inu,Good With Young Children,3
West Highland White Terriers,Good With Young Children,5
Bichons Frises,Good With Young Children,5
Bloodhounds,Good With Young Children,3
Spaniels (English Cocker),Good With Young Children,5
Akitas,Good With Young Children,3
Portuguese Water Dogs,Good With Young Children,5
Retrievers (Chesapeake Bay),Good With Young Children,3
Dalmatians,Good With Young Children,3
St. Bernards,Good With Young Children,5
Papillons,Good With Young Children,5
Australian Cattle Dogs,Good With Young Children,3
Bullmastiffs,Good With Young Children,3
Samoyeds,Good With Young Children,5
Scottish Terriers,Good With Young Children,3
Soft Coated Wheaten Terriers,Good With Young Children,5
Whippets,Good With Young Children,5
Pointers (German Wirehaired),Good With Young Children,3
Chinese Shar-Pei,Good With Young Children,3
Airedale Terriers,Good With Young Children,3
Wirehaired Pointing Griffons,Good With Young Children,5
Bull Terriers,Good With Young Children,3
Alaskan Malamutes,Good With Young Children,3
Cardigan Welsh Corgis,Good With Young Children,4
Giant Schnauzers,Good With Young Children,3
Old English Sheepdogs,Good With Young Children,5
Italian Greyhounds,Good With Young Children,3
Great Pyrenees,Good With Young Children,3
Dogues de Bordeaux,Good With Young Children,3
Russell Terriers,Good With Young Children,3
Cairn Terriers,Good With Young Children,3
Irish Wolfhounds,Good With Young Children,3
Setters (Irish),Good With Young Children,5
Greater Swiss Mountain Dogs,Good With Young Children,5
Miniature Pinschers,Good With Young Children,3
Lhasa Apsos,Good With Young Children,3
Chinese Crested,Good With Young Children,3
Coton de Tulear,Good With Young Children,5
Staffordshire Bull Terriers,Good With Young Children,5
American Staffordshire Terriers,Good With Young Children,3
Rat Terriers,Good With Young Children,5
Chow Chows,Good With Young Children,3
Anatolian Shepherd Dogs,Good With Young Children,3
Basenjis,Good With Young Children,3
Spaniels (Boykin),Good With Young Children,5
Lagotti Romagnoli,Good With Young Children,3
Brussels Griffons,Good With Young Children,3
Retrievers (Nova Scotia Duck Tolling),Good With Young Children,5
Norwegian Elkhounds,Good With Young Children,3
Standard Schnauzers,Good With Young Children,5
Dogo Argentinos,Good With Young Children,3
Bouviers des Flandres,Good With Young Children,3
Pekingese,Good With Young Children,3
Keeshonden,Good With Young Children,5
Border Terriers,Good With Young Children,5
Leonbergers,Good With Young Children,5
Tibetan Terriers,Good With Young Children,3
Neapolitan Mastiffs,Good With Young Children,3
Setters (English),Good With Young Children,4
Retrievers (Flat-Coated),Good With Young Children,5
Borzois,Good With Young Children,3
Fox Terriers (Wire),Good With Young Children,5
Miniature Bull Terriers,Good With Young Children,3
Belgian Tervuren,Good With Young Children,3
Setters (Gordon),Good With Young Children,3
Silky Terriers,Good With Young Children,3
Norwich Terriers,Good With Young Children,5
Spinoni Italiani,Good With Young Children,3
Japanese Chin,Good With Young Children,3
Welsh Terriers,Good With Young Children,5
Toy Fox Terriers,Good With Young Children,3
Schipperkes,Good With Young Children,3
Parson Russell Terriers,Good With Young Children,3
Pointers,Good With Young Children,3
Belgian Sheepdogs,Good With Young Children,3
Tibetan Spaniels,Good With Young Children,5
American Eskimo Dogs,Good With Young Children,5
Irish Terriers,Good With Young Children,5
Beaucerons,Good With Young Children,3
Afghan Hounds,Good With Young Children,3
Boerboels,Good With Young Children,4
Fox Terriers (Smooth),Good With Young Children,3
Bearded Collies,Good With Young Children,5
Black Russian Terriers,Good With Young Children,3
Black and Tan Coonhounds,Good With Young Children,5
Spaniels (Welsh Springer),Good With Young Children,5
American Hairless Terriers,Good With Young Children,5
Norfolk Terriers,Good With Young Children,5
Xoloitzcuintli,Good With Young Children,3
Manchester Terriers,Good With Young Children,4
Kerry Blue Terriers,Good With Young Children,4
Australian Terriers,Good With Young Children,5
Spaniels (Clumber),Good With Young Children,3
Lakeland Terriers,Good With Young Children,3
Bluetick Coonhounds,Good With Young Children,3
English Toy Spaniels,Good With Young Children,5
German Pinschers,Good With Young Children,3
Tibetan Mastiffs,Good With Young Children,3
Bedlington Terriers,Good With Young Children,3
Greyhounds,Good With Young Children,3
Pulik,Good With Young Children,3
Salukis,Good With Young Children,3
Barbets,Good With Young Children,5
Redbone Coonhounds,Good With Young Children,5
Swedish Vallhunds,Good With Young Children,5
Sealyham Terriers,Good With Young Children,3
Spanish Water Dogs,Good With Young Children,4
Briards,Good With Young Children,3
Berger Picards,Good With Young Children,3
Entlebucher Mountain Dogs,Good With Young Children,3
Treeing Walker Coonhounds,Good With Young Children,5
Icelandic Sheepdogs,Good With Young Children,5
Wirehaired Vizslas,Good With Young Children,5
Pumik,Good With Young Children,3
Portuguese Podengo Pequenos,Good With Young Children,5
Spaniels (American Water),Good With Young Children,3
Retrievers (Curly-Coated),Good With Young Children,5
Spaniels (Field),Good With Young Children,5
Lowchen,Good With Young Children,5
Nederlandse Kooikerhondjes,Good With Young Children,3
Affenpinschers,Good With Young Children,3
Petits Bassets Griffons Vendeens,Good With Young Children,5
Finnish Lapphunds,Good With Young Children,4
Scottish Deerhounds,Good With Young Children,3
Plott Hounds,Good With Young Children,0
Norwegian Buhunds,Good With Young Children,3
Glen of Imaal Terriers,Good With Young Children,3
Setters (Irish Red and White),Good With Young Children,5
Ibizan Hounds,Good With Young Children,3
Spaniels (Sussex),Good With Young Children,3
Bergamasco Sheepdogs,Good With Young Children,3
Spaniels (Irish Water),Good With Young Children,3
Polish Lowland Sheepdogs,Good With Young Children,3
Otterhounds,Good With Young Children,3
Kuvaszok,Good With Young Children,3
Komondorok,Good With Young Children,3
Cirnechi dell’Etna,Good With Young Children,3
Pharaoh Hounds,Good With Young Children,3
Dandie Dinmont Terriers,Good With Young Children,3
Pyrenean Shepherds,Good With Young Children,3
Skye Terriers,Good With Young Children,3
Canaan Dogs,Good With Young Children,3
American English Coonhounds,Good With Young Children,3
Chinooks,Good With Young Children,5
Finnish Spitz,Good With Young Children,5
Grand Basset Griffon Vendeens,Good With Young Children,3
Sloughis,Good With Young Children,3
Harriers,Good With Young Children,5
Cesky Terriers,Good With Young Children,5
American Foxhounds,Good With Young Children,5
Azawakhs,Good With Young Children,3
English Foxhounds,Good With Young Children,5
Norwegian Lundehunds,Good With Young Children,3
Retrievers (Labrador),Good With Other Dogs,5
French Bulldogs,Good With Other Dogs,4
German Shepherd Dogs,Good With Other Dogs,3
Retrievers (Golden),Good With Other Dogs,5
Bulldogs,Good With Other Dogs,3
Poodles,Good With Other Dogs,3
Beagles,Good With Other Dogs,5
Rottweilers,Good With Other Dogs,3
Pointers (German 1haired),Good With Other Dogs,4
Dachshunds,Good With Other Dogs,4
Pembroke Welsh Corgis,Good With Other Dogs,4
Australian Shepherds,Good With Other Dogs,3
Yorkshire Terriers,Good With Other Dogs,3
Boxers,Good With Other Dogs,3
Great Danes,Good With Other Dogs,3
Siberian Huskies,Good With Other Dogs,5
Cavalier King Charles Spaniels,Good With Other Dogs,5
Doberman Pinschers,Good With Other Dogs,3
Miniature Schnauzers,Good With Other Dogs,3
Shih Tzu,Good With Other Dogs,5
Boston Terriers,Good With Other Dogs,4
Bernese Mountain Dogs,Good With Other Dogs,5
Pomeranians,Good With Other Dogs,3
Havanese,Good With Other Dogs,5
Cane Corso,Good With Other Dogs,3
Spaniels (English Springer),Good With Other Dogs,4
Shetland Sheepdogs,Good With Other Dogs,5
Brittanys,Good With Other Dogs,4
Pugs,Good With Other Dogs,4
Spaniels (Cocker),Good With Other Dogs,5
Miniature American Shepherds,Good With Other Dogs,5
Border Collies,Good With Other Dogs,3
Mastiffs,Good With Other Dogs,3
Chihuahuas,Good With Other Dogs,3
Vizslas,Good With Other Dogs,4
Basset Hounds,Good With Other Dogs,5
Belgian Malinois,Good With Other Dogs,3
Maltese,Good With Other Dogs,3
Weimaraners,Good With Other Dogs,3
Collies,Good With Other Dogs,3
Newfoundlands,Good With Other Dogs,5
Rhodesian Ridgebacks,Good With Other Dogs,3
Shiba Inu,Good With Other Dogs,3
West Highland White Terriers,Good With Other Dogs,3
Bichons Frises,Good With Other Dogs,5
Bloodhounds,Good With Other Dogs,3
Spaniels (English Cocker),Good With Other Dogs,5
Akitas,Good With Other Dogs,1
Portuguese Water Dogs,Good With Other Dogs,4
Retrievers (Chesapeake Bay),Good With Other Dogs,3
Dalmatians,Good With Other Dogs,3
St. Bernards,Good With Other Dogs,3
Papillons,Good With Other Dogs,3
Australian Cattle Dogs,Good With Other Dogs,3
Bullmastiffs,Good With Other Dogs,3
Samoyeds,Good With Other Dogs,3
Scottish Terriers,Good With Other Dogs,2
Soft Coated Wheaten Terriers,Good With Other Dogs,3
Whippets,Good With Other Dogs,5
Pointers (German Wirehaired),Good With Other Dogs,3
Chinese Shar-Pei,Good With Other Dogs,3
Airedale Terriers,Good With Other Dogs,3
Wirehaired Pointing Griffons,Good With Other Dogs,3
Bull Terriers,Good With Other Dogs,1
Alaskan Malamutes,Good With Other Dogs,3
Cardigan Welsh Corgis,Good With Other Dogs,3
Giant Schnauzers,Good With Other Dogs,3
Old English Sheepdogs,Good With Other Dogs,3
Italian Greyhounds,Good With Other Dogs,5
Great Pyrenees,Good With Other Dogs,3
Dogues de Bordeaux,Good With Other Dogs,3
Russell Terriers,Good With Other Dogs,5
Cairn Terriers,Good With Other Dogs,3
Irish Wolfhounds,Good With Other Dogs,4
Setters (Irish),Good With Other Dogs,5
Greater Swiss Mountain Dogs,Good With Other Dogs,3
Miniature Pinschers,Good With Other Dogs,4
Lhasa Apsos,Good With Other Dogs,3
Chinese Crested,Good With Other Dogs,3
Coton de Tulear,Good With Other Dogs,5
Staffordshire Bull Terriers,Good With Other Dogs,3
American Staffordshire Terriers,Good With Other Dogs,3
Rat Terriers,Good With Other Dogs,3
Chow Chows,Good With Other Dogs,2
Anatolian Shepherd Dogs,Good With Other Dogs,3
Basenjis,Good With Other Dogs,3
Spaniels (Boykin),Good With Other Dogs,5
Lagotti Romagnoli,Good With Other Dogs,5
Brussels Griffons,Good With Other Dogs,3
Retrievers (Nova Scotia Duck Tolling),Good With Other Dogs,4
Norwegian Elkhounds,Good With Other Dogs,3
Standard Schnauzers,Good With Other Dogs,3
Dogo Argentinos,Good With Other Dogs,3
Bouviers des Flandres,Good With Other Dogs,3
Pekingese,Good With Other Dogs,3
Keeshonden,Good With Other Dogs,5
Border Terriers,Good With Other Dogs,3
Leonbergers,Good With Other Dogs,3
Tibetan Terriers,Good With Other Dogs,3
Neapolitan Mastiffs,Good With Other Dogs,3
Setters (English),Good With Other Dogs,4
Retrievers (Flat-Coated),Good With Other Dogs,5
Borzois,Good With Other Dogs,3
Fox Terriers (Wire),Good With Other Dogs,3
Miniature Bull Terriers,Good With Other Dogs,3
Belgian Tervuren,Good With Other Dogs,3
Setters (Gordon),Good With Other Dogs,3
Silky Terriers,Good With Other Dogs,3
Norwich Terriers,Good With Other Dogs,3
Spinoni Italiani,Good With Other Dogs,4
Japanese Chin,Good With Other Dogs,5
Welsh Terriers,Good With Other Dogs,3
Toy Fox Terriers,Good With Other Dogs,3
Schipperkes,Good With Other Dogs,3
Parson Russell Terriers,Good With Other Dogs,5
Pointers,Good With Other Dogs,5
Belgian Sheepdogs,Good With Other Dogs,3
Tibetan Spaniels,Good With Other Dogs,3
American Eskimo Dogs,Good With Other Dogs,3
Irish Terriers,Good With Other Dogs,1
Beaucerons,Good With Other Dogs,3
Afghan Hounds,Good With Other Dogs,3
Boerboels,Good With Other Dogs,2
Fox Terriers (Smooth),Good With Other Dogs,3
Bearded Collies,Good With Other Dogs,5
Black Russian Terriers,Good With Other Dogs,3
Black and Tan Coonhounds,Good With Other Dogs,5
Spaniels (Welsh Springer),Good With Other Dogs,4
American Hairless Terriers,Good With Other Dogs,3
Norfolk Terriers,Good With Other Dogs,3
Xoloitzcuintli,Good With Other Dogs,3
Manchester Terriers,Good With Other Dogs,3
Kerry Blue Terriers,Good With Other Dogs,2
Australian Terriers,Good With Other Dogs,3
Spaniels (Clumber),Good With Other Dogs,3
Lakeland Terriers,Good With Other Dogs,3
Bluetick Coonhounds,Good With Other Dogs,5
English Toy Spaniels,Good With Other Dogs,5
German Pinschers,Good With Other Dogs,3
Tibetan Mastiffs,Good With Other Dogs,3
Bedlington Terriers,Good With Other Dogs,3
Greyhounds,Good With Other Dogs,4
Pulik,Good With Other Dogs,3
Salukis,Good With Other Dogs,3
Barbets,Good With Other Dogs,5
Redbone Coonhounds,Good With Other Dogs,5
Swedish Vallhunds,Good With Other Dogs,3
Sealyham Terriers,Good With Other Dogs,3
Spanish Water Dogs,Good With Other Dogs,3
Briards,Good With Other Dogs,3
Berger Picards,Good With Other Dogs,3
